Order_ID,Order_Date,Product,Category,Region,Customer_Segment,Quantity,Unit_Price,Discount,Sales,Cost,Profit,order date,Month
ORD10034,2025-01-01,Tablet,Electronics,West,Corporate,2,22000.0,0.0,44000.0,28122.29,15877.71,2025-01-01,2025-01
ORD10391,2025-01-01,Office Chair,Furniture,South,Small Business,8,8500.0,0.0,68000.0,49784.98,18215.02,2025-01-01,2025-01
ORD10167,2025-01-01,Desk,Furniture,South,Corporate,9,11000.0,0.05,94050.0,69965.45,24084.55,2025-01-01,2025-01
ORD10526,2025-01-03,Office Chair,Furniture,West,Small Business,8,8500.0,0.0,68000.0,45677.24,22322.76,2025-01-03,2025-01
ORD10246,2025-01-07,Printer,Office,South,Small Business,8,12000.0,0.0,96000.0,71307.52,24692.48,2025-01-07,2025-01
ORD10108,2025-01-08,Printer,Office,East,Consumer,3,12000.0,0.0,36000.0,27422.96,8577.04,2025-01-08,2025-01
ORD10449,2025-01-10,Laptop,Electronics,South,Consumer,2,55000.0,0.0,110000.0,85041.28,24958.72,2025-01-10,2025-01
ORD10465,2025-01-12,Desk,Furniture,East,Small Business,2,11000.0,0.1,19800.0,14056.97,5743.03,2025-01-12,2025-01
ORD10574,2025-01-12,Printer,Office,North,Small Business,2,12000.0,0.0,24000.0,15610.1,8389.9,2025-01-12,2025-01
ORD10365,2025-01-13,Keyboard,Accessories,West,Consumer,1,1500.0,0.05,1425.0,1156.55,268.45,2025-01-13,2025-01
ORD10512,2025-01-13,Office Chair,Furniture,East,Small Business,8,8500.0,0.05,64600.0,52270.42,12329.58,2025-01-13,2025-01
ORD10494,2025-01-13,Headphones,Accessories,West,Corporate,2,2500.0,0.0,5000.0,3449.51,1550.49,2025-01-13,2025-01
ORD10424,2025-01-13,Headphones,Accessories,South,Small Business,6,2500.0,0.0,15000.0,11063.31,3936.69,2025-01-13,2025-01
ORD10453,2025-01-14,Laptop,Electronics,South,Corporate,6,55000.0,0.0,330000.0,254190.76,75809.24,2025-01-14,2025-01
ORD10090,2025-01-16,Tablet,Electronics,East,Consumer,2,22000.0,0.05,41800.0,28821.7,12978.3,2025-01-16,2025-01
ORD10552,2025-01-17,Tablet,Electronics,South,Consumer,10,22000.0,0.0,220000.0,159426.5,60573.5,2025-01-17,2025-01
ORD10169,2025-01-19,Headphones,Accessories,North,Consumer,8,2500.0,0.1,18000.0,11707.29,6292.71,2025-01-19,2025-01
ORD10381,2025-01-19,Laptop,Electronics,unknown,Consumer,4,55000.0,0.1,198000.0,147295.74,50704.26,2025-01-19,2025-01
ORD10341,2025-01-20,Headphones,Accessories,North,Corporate,2,2500.0,0.05,4750.0,3549.48,1200.52,2025-01-20,2025-01
ORD10370,2025-01-22,Headphones,Accessories,North,Consumer,5,2500.0,0.1,11250.0,8947.46,2302.54,2025-01-22,2025-01
ORD10458,2025-01-22,Tablet,Electronics,East,Small Business,6,22000.0,0.05,125400.0,84825.25,40574.75,2025-01-22,2025-01
ORD10492,2025-01-23,Headphones,Accessories,North,Small Business,6,2500.0,0.05,14250.0,11605.22,2644.78,2025-01-23,2025-01
ORD10239,2025-01-23,Office Chair,Furniture,South,Consumer,4,8500.0,0.15,28900.0,18140.1,10759.9,2025-01-23,2025-01
ORD10445,2025-01-23,Printer,Office,West,Consumer,10,12000.0,0.1,108000.0,82683.49,25316.51,2025-01-23,2025-01
ORD10390,2025-01-25,Headphones,Accessories,North,Consumer,10,2500.0,0.05,23750.0,17392.05,6357.95,2025-01-25,2025-01
ORD10117,2025-01-26,Desk,Furniture,South,Corporate,3,11000.0,0.05,31350.0,21926.07,9423.93,2025-01-26,2025-01
ORD10432,2025-01-27,Desk,Furniture,West,Small Business,5,11000.0,0.05,52250.0,37808.92,14441.08,2025-01-27,2025-01
ORD10527,2025-01-28,Headphones,Accessories,East,Corporate,2,2500.0,0.1,4500.0,2938.24,1561.76,2025-01-28,2025-01
ORD10459,2025-01-30,Smartphone,Electronics,East,Corporate,5,28000.0,0.0,140000.0,94127.76,45872.24,2025-01-30,2025-01
ORD10230,2025-01-30,Office Chair,Furniture,South,Small Business,5,8500.0,0.15,36125.0,28069.24,8055.76,2025-01-30,2025-01
ORD10516,2025-01-31,Desk,Furniture,North,Corporate,3,11000.0,0.05,31350.0,22018.77,9331.23,2025-01-31,2025-01
ORD10264,2025-01-31,Tablet,Electronics,South,Corporate,3,22000.0,0.1,59400.0,46030.88,13369.12,2025-01-31,2025-01
ORD10442,2025-01-31,Smartphone,Electronics,West,Small Business,3,28000.0,0.0,84000.0,60193.88,23806.12,2025-01-31,2025-01
ORD10571,2025-02-02,Smartphone,Electronics,West,Small Business,8,28000.0,0.15,190400.0,125063.28,65336.72,2025-02-02,2025-02
